name,sku,description,short_description,weight,image
Santa Clara Rompope Liquor Bottle 1  Ltr,qqqqqq,SANTA CLARA ROMPOPE,S/C ROMP 1LTR,1,00015918111908.jpg
Budweiser American Style Lager Beer Can 6Pk/12  Oz,18200000164,BUDWEISER CANS 6PK 12OZ,BUD 6PK CAN,1,00018200000164.jpg
Bud Light Long Neck Beer Bottle 12  Ct,18200007699,BUD LIGHT 12PK BTL LN,BUD LT 12PK BTL,1,00018200007699.jpg
Bud Light Long Neck Beer Bottle 6  Pk,18200008337,BUD LIGHT 6PK BTL LN 12 OZ,BUD LT 6PK BTL 12OZ,1,00018200008337.jpg
Michelob Ultra Superior Light Beer Bottle 12  Ct,18200059902,MICHELOB ULTRA LOW CARB 12PK,Superior Light,1,00018200059902.jpg
Budweiser Long Neck Beer Bottle 20Pk/12  Oz,18200110252,BUDWEISER 20PK BTL 12OZ LN,BUD BTL 20PK 12OZ,1,00018200110252.jpg
Budweiser American Style Lager Beer Box 30Pk/12  Oz,18200110306,BUDWEISER 30PK 12 OZ CAN,BUD 30PK CAN,1,00018200110306.jpg
